"Utility ","Active ","Inactive ","Total ",
"Cobb Mountain Water Company ","62 ","2 ","64 ",
"Cottage Springs Water Company *2008 AR* ","16 ","0 ","16 ",
"Easton Estates Water Company ","104 ","4 ","108 ",
"Foothill Ditch Company ","18 ","10 ","28 ",
"Goodyears Bar Water Company ","13 ","0 ","13 ",
"Havasu Water Company ","211 ","13 ","224 ",
"Interstate 5 Utility Company *2017 AR* ","20 ","0 ","20 ",
"January Water Company (Ali Mutual) * 2013 AR* ","15 ","0 ","15 ",
"Keene Water System ","26 ","10 ","36 ",
"Kenwood Village Water Company ","336 ","38 ","374 ",
"Lake Alpine Water Company ","493 ","6 ","499 ",
"Lakeview Water Company ","10 ","2 ","12 ",
"Las Flores Water Works *2017 AR* ","63 ","12 ","75 ",
"Live Oak Springs Water Company ","94 ","4 ","98 ",
"Llano Del Rio Water Company ","189 ","0 ","189 ",
"Long Canyon Water Company ","66 ","5 ","71 ",
"Lytle Springs Water Company ","141 ","13 ","154 ",
"Macdoel Water Works ","MISSING DATA ","","",
"Meadow Valley Water Works ","14 ","0 ","14 ",
"Mecchi Water Service *2017 AR* ","29 ","0 ","29 ",
"Meyers Water Company ","99 ","0 ","99 ",
"MHC Acquisition One ","206 ","0 ","206 ",
"Mira Monte Water Company * 2017 AR* ","47 ","0 ","47 ",
"Mountain Mesa Water Company ","411 ","28 ","439 ",
"Owens Valley Water Company 2016 AR* ","111 ","0 ","111 ",
"Pierpoint Springs Water Company ","98 ","2 ","100 ",
"Pinon Valley Water Company ","39 ","6 ","45 ",
"Point Arena Water Works ","197 ","30 ","227 ",
"PureSource Water ","77 ","3 ","80 ",
"R.R. Lewis Small Water Company ","134 ","54 ","188 ",
"Ramona Water Company *2015 AR* ","65 ","0 ","65 ",
