"Utility ","Active ","Inactive ","Total ",
"Big Basin Sanitation ","29 ","0 ","29 ",
"California Hot Springs Water & Sewer Company ","26 ","0 ","26 ",
"California Utilities Service ","1,115 ","8 ","1,123 ",
"California-Americar Water Company ","2,697 ","0 ","2,697 ",
"Canada Woods Water Company ","147 ","0 ","147 ",
"Cypress Ridge Sewer Company ","386 ","0 ","386 ",
"Golden Hills Sanitation Company ","190 ","68 ","258 ",
"Interstate 5 Utility Company * 2017 AR* ","20 ","0 ","20 ",
"Little Bear Water Company * 2014 AR* ","393 ","0 ","393 ",
"MHC Acquisition One ","206 ","0 ","206 ",
"Mayacama Golf Club ","40 ","0 ","40 ",
"Rolling Green Utilities ","285 ","0 ","285 ",
"Total Sewer ","5,534 ","76 ","5,610 ",
